Lfd. Nr.,Stadt,Postleitzahl,Fläche km,Bevölkerung gesamt,Bevölkerung männlich,Bevölkerung weiblich,Bevölkerung je km2
109,Bamberg,96047,"54,62",75.743,36.286,39.457,1.387
110,"Gladbeck, Stadt",45964,"35,97",75.532,36.763,38.769,2.100
111,"Rheine, Stadt",48431,145,75.338,37.264,38.074,"520,00"
112,"Dorsten, Stadt",46284,"171,2",75.196,36.603,38.593,"439,00"
113,"Marburg, Universitätsstadt",35037,"123,92",74.675,35.645,39.030,"603,00"
114,"Troisdorf, Stadt",53840,62,74.616,36.507,38.109,1.203
115,"Lüneburg, Hansestadt",21335,"70,5",74.494,35.901,38.593,1.057
116,"Castrop-Rauxel, Stadt",44575,"51,68",74.004,36.011,37.993,1.432
117,"Arnsberg, Stadt",59759,"193,72",73.990,36.405,37.585,"382,00"
118,"Detmold, Stadt",32756,"129,39",73.899,35.557,38.342,"571,00"
119,"Lüdenscheid, Stadt",58507,"87,02",73.164,35.905,37.259,"841,00"
120,Bayreuth,95444,"66,89",73.065,35.438,37.627,1.092
121,"Brandenburg an der Havel, Stadt",14770,"229,72",71.664,35.380,36.284,"312,00"
122,"Bocholt, Stadt",46395,"119,4",71.350,34.938,36.412,"598,00"
123,Landshut,84028,"65,83",70.025,33.927,36.098,1.064
124,"Celle, Stadt",29221,"176,02",69.561,33.697,35.864,"395,00"
125,Aschaffenburg,63739,"62,45",69.187,33.450,35.737,1.108
126,"Lippstadt, Stadt",59555,"113,68",67.812,33.375,34.437,"596,00"
127,"Dinslaken, Stadt",46535,"47,66",67.726,32.808,34.918,1.421
128,"Aalen, Stadt",73430,"146,58",67.684,33.502,34.182,"462,00"
129,Kempten (Allgäu),87435,"63,28",67.529,33.437,34.092,1.067
130,"Fulda, Stadt",36037,"104,04",67.466,32.968,34.498,"648,00"
131,"Herford, Hansestadt",32052,"79,16",66.514,32.405,34.109,"840,00"
132,"Kerpen, Kolpingstadt",50171,"113,96",65.568,32.252,33.316,"575,00"
133,"Plauen, Stadt",8523,"102,11",65.049,31.647,33.402,"637,00"
134,"Neuwied, Stadt",56564,"86,5",64.689,31.598,33.091,"748,00"
135,"Weimar, Stadt",99423,"84,48",64.355,31.152,33.203,"762,00"
136,"Sindelfingen, Stadt",71063,"50,83",64.159,31.833,32.326,1.262
137,"Rüsselsheim am Main, Stadt",65428,"58,29",64.022,31.833,32.189,1.098
138,"Dormagen, Stadt",41539,"85,5",64.016,31.802,32.214,"749,00"
139,"Neubrandenburg, Stadt",17033,"86,11",63.794,30.942,32.852,"741,00"
140,"Grevenbroich, Stadt",41515,"102,41",62.977,30.558,32.419,"615,00"
141,Rosenheim,83022,"37,22",62.672,30.760,31.912,1.684
142,"Herten, Stadt",45699,"37,33",61.461,30.039,31.422,1.646
143,"Garbsen, Stadt",30827,"79,49",60.853,29.685,31.168,"766,00"
144,"Wesel, Stadt",46483,"122,56",60.797,29.550,31.247,"496,00"
145,"Schwäbisch Gmünd, Stadt",73525,"113,78",60.349,29.478,30.871,"530,00"
146,"Bergheim, Stadt",50126,"96,34",60.288,29.634,30.654,"626,00"
147,"Friedrichshafen, Stadt",88045,"69,93",59.611,29.586,30.025,"852,00"
148,"Hürth, Stadt",50354,"51,22",59.272,28.985,30.287,1.157
149,"Stralsund, Hansestadt",18439,"54,14",59.101,29.076,30.025,1.092
150,"Offenburg, Stadt",77652,"78,37",58.736,28.811,29.925,"750,00"
151,"Langenfeld (Rheinland), Stadt",40764,"41,15",58.563,28.461,30.102,1.423
152,"Frankfurt (Oder), Stadt",15230,"147,85",58.193,28.116,30.077,"394,00"
153,"Greifswald, Hansestadt",17489,"50,81",57.985,27.932,30.053,1.141
154,"Euskirchen, Stadt",53879,"139,49",57.241,28.074,29.167,"410,00"
155,"Neu-Ulm, GKSt",89231,"80,95",56.978,28.080,28.898,"704,00"
156,"Göppingen, Stadt",73033,"59,21",56.904,28.140,28.764,"961,00"
157,"Unna, Stadt4)",59423,"88,56",/,/,/,/
158,"Hameln, Stadt",31785,"102,53",56.747,27.063,29.684,"553,00"
159,"Stolberg (Rhld.), Kupferstadt",52222,"98,48",56.366,27.937,28.429,"572,00"
160,"Sankt Augustin, Stadt",53757,"34,22",56.115,27.428,28.687,1.640
161,"Eschweiler, Stadt",52249,"75,75",56.008,27.331,28.677,"739,00"
162,"Görlitz, Stadt",2826,"67,52",55.904,26.915,28.989,"828,00"
163,"Hilden, Stadt",40721,"25,95",55.569,26.782,28.787,2.141
164,"Meerbusch, Stadt",40667,"64,39",55.091,26.219,28.872,"856,00"
165,"Waiblingen, Stadt",71332,"42,75",54.824,26.866,27.958,1.282
166,"Hattingen, Stadt",45525,"71,66",54.744,26.581,28.163,"764,00"
167,"Baden-Baden, Stadt",76530,"140,19",54.307,25.920,28.387,"387,00"
